"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2011","12251.447",""
"Afghanistan","2010","8470.77",""
"Afghanistan","2009","6776.616",""
"Afghanistan","2008","4217.05",""
"Afghanistan","2007","2280.874",""
"Afghanistan","2006","1657.484",""
"Afghanistan","2005","1338.455",""
"Afghanistan","2004","957.087",""
"Afghanistan","2003","1037.761",""
"Afghanistan","2002","894.748",""
"Afghanistan","2001","645.392",""
"Afghanistan","2000","781.071",""
"Afghanistan","1999","832.409",""
"Afghanistan","1998","1056.096",""
"Afghanistan","1997","1114.768",""
"Afghanistan","1996","1199.109",""
"Afghanistan","1995","1268.782",""
"Afghanistan","1994","1320.12",""
"Afghanistan","1993","1375.125",""
"Afghanistan","1992","1426.463",""
"Afghanistan","1991","2493.56",""
"Afghanistan","1990","2676.91",""
"Albania","2011","4668.091",""
"Albania","2010","4415.068",""
"Albania","2009","4488.408",""
"Albania","2008","4657.09",""
"Albania","2007","4477.407",""
"Albania","2006","3865.018",""
"Albania","2005","4253.72",""
"Albania","2004","4165.712",""
"Albania","2003","4294.057",""
"Albania","2002","3751.341",""
"Albania","2001","3223.293",""
"Albania","2000","3021.608",""
"Albania","1999","2984.938",""
"Albania","1998","1752.826",""
"Albania","1997","1543.807",""
"Albania","1996","2016.85",""
"Albania","1995","2086.523",""
"Albania","1994","1928.842",""
"Albania","1993","2343.213",""
"Albania","1992","2387.217",""
"Albania","1991","3971.361",""
"Albania","1990","7488.014",""
"Algeria","2011","121755.401",""
"Algeria","2010","119276.509",""
"Algeria","2009","121374.033",""
"Algeria","2008","111575.809",""
"Algeria","2007","109294.935",""
"Algeria","2006","100919.507",""
"Algeria","2005","107127.738",""
"Algeria","2004","89493.135",""
"Algeria","2003","92533.078",""
"Algeria","2002","90853.592",""
"Algeria","2001","84293.329",""
"Algeria","2000","87930.993",""
"Algeria","1999","92118.707",""
"Algeria","1998","107080.067",""
"Algeria","1997","88195.017",""
"Algeria","1996","97131.496",""
"Algeria","1995","95345.667",""
"Algeria","1994","86500.863",""
"Algeria","1993","82294.814",""
"Algeria","1992","81935.448",""
"Algeria","1991","81220.383",""
"Algeria","1990","78924.841",""
"Andorra","2011","491.378",""
"Andorra","2010","517.047",""
"Andorra","2009","517.047",""
"Andorra","2008","539.049",""
"Andorra","2007","539.049",""
"Andorra","2006","546.383",""
"Andorra","2005","575.719",""
"Andorra","2004","564.718",""
"Andorra","2003","535.382",""
