"Country or Area";"Year";"Value"
"Australia";"2014";"522397.090711347"
"Australia";"2013";"526882.667266593"
"Australia";"2012";"537377.571452805"
"Australia";"2011";"534089.798684709"
"Australia";"2010";"533917.43629539"
"Australia";"2009";"537889.892623617"
"Australia";"2008";"533693.508207377"
"Australia";"2007";"529842.870342484"
"Australia";"2006";"522517.191663285"
"Australia";"2005";"518850.759462375"
"Australia";"2004";"511710.242020824"
"Australia";"2003";"495154.085966803"
"Australia";"2002";"494740.100776734"
"Australia";"2001";"491441.695937142"
"Australia";"2000";"483445.826664823"
"Australia";"1999";"472245.9907776"
"Australia";"1998";"466382.112471814"
"Australia";"1997";"451721.717814666"
"Australia";"1996";"439803.962228252"
"Australia";"1995";"433478.650825855"
"Australia";"1994";"424092.95937256"
"Australia";"1993";"423764.932564252"
"Australia";"1992";"423080.108191254"
"Australia";"1991";"418674.057493862"
"Australia";"1990";"418623.049562649"
"Austria";"2014";"76332.6185859917"
"Austria";"2013";"80042.5418408096"
"Austria";"2012";"79897.1151021792"
"Austria";"2011";"82626.6380188969"
"Austria";"2010";"84946.0197097698"
"Austria";"2009";"80190.6514378182"
"Austria";"2008";"87101.134677129"
"Austria";"2007";"87241.1545305627"
"Austria";"2006";"89981.0212829735"
"Austria";"2005";"92810.4871969534"
"Austria";"2004";"91835.8942410282"
"Austria";"2003";"92018.4811411606"
"Austria";"2002";"86129.5464386255"
"Austria";"2001";"84380.8068854374"
"Austria";"2000";"80429.3433929845"
"Austria";"1999";"80106.7171759132"
"Austria";"1998";"81770.8395563128"
"Austria";"1997";"82474.3920310851"
"Austria";"1996";"83008.8063000899"
"Austria";"1995";"79813.0345359956"
"Austria";"1994";"76503.4852878471"
"Austria";"1993";"75988.2270431512"
"Austria";"1992";"75930.9957651566"
"Austria";"1991";"82636.9034660686"
"Austria";"1990";"78844.6272595357"
"Belarus";"2014";"91895.646557818"
"Belarus";"2013";"93037.24544666"
"Belarus";"2012";"90925.114581937"
"Belarus";"2011";"91671.727009572"
"Belarus";"2010";"91183.549358156"
"Belarus";"2009";"89223.65625899"
"Belarus";"2008";"92364.348971776"
"Belarus";"2007";"88920.641948088"
"Belarus";"2006";"89449.655446278"
"Belarus";"2005";"85596.098699522"
"Belarus";"2004";"83688.299567336"
"Belarus";"2003";"79158.718822027"
"Belarus";"2002";"76683.86788515"
"Belarus";"2001";"77921.8275915"
"Belarus";"2000";"77959.724959323"
"Belarus";"1999";"79497.84205671"
"Belarus";"1998";"82668.831561971"
"Belarus";"1997";"86282.505937182"
"Belarus";"1996";"82375.194219344"
"Belarus";"1995";"80369.782345399"
"Belarus";"1994";"88206.3567402"
