Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,2614.571,773.737,4206.049,6769.282,8463.436,12240.446,10755.311,10014.577,9809.225,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,5515.168,3021.608,4374.731,4378.398,4598.418,5240.143,4910.113,5064.127,5716.853,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,76970.33,87861.32,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145400.217,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,407.037,524.381,539.049,517.047,517.047,491.378,487.711,476.71,462.042,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,5115.465,9541.534,25709.337,27792.193,29057.308,30340.758,33399.036,32617.965,34763.16,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,282.359,344.698,480.377,509.713,524.381,513.38,524.381,524.381,531.715,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,112147.861,142136.587,189107.19,179961.692,187919.082,191633.753,192356.152,189851.591,204024.546,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,,3465.315,5559.172,4360.063,4217.05,4917.447,5694.851,5496.833,5529.836,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,1639.149,2379.883,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,263704.971,329443.28,385904.079,394792.887,390861.863,391818.95,388126.281,372266.506,361261.839,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,57685.577,62283.995,69027.608,62731.369,67502.136,65019.577,62272.994,62485.68,58712.337,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,,29508.349,35503.894,31902.9,30678.122,33446.707,35555.232,35643.24,37487.741,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,1950.844,1668.485,1496.136,1642.816,1653.817,1866.503,1969.179,2801.588,2416.553,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,12427.463,18643.028,29768.706,28217.565,29266.327,28650.271,26673.758,31312.513,31338.182,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,15533.412,27869.2,49511.834,53736.218,59937.115,63413.431,67505.803,69709.67,73189.653,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,1074.431,1188.108,1620.814,1617.147,1477.801,1529.139,1470.467,1448.465,1272.449,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,,53787.556,63105.403,61220.565,63043.064,64062.49,63222.747,63769.13,63497.772,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,106049.64,115118.131,104443.494,99863.411,110824.074,99944.085,95107.312,96970.148,93350.819,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,311.695,396.036,436.373,586.72,539.049,601.388,476.71,513.38,495.045,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,707.731,1598.812,4411.401,4660.757,5089.796,5295.148,5471.164,5812.195,6318.241,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,502.379,517.047,649.059,476.71,608.722,443.707,476.71,458.375,575.719,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,128.345,396.036,421.705,388.702,487.711,733.4,817.741,920.417,1001.091,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,5757.19,11067.006,13237.87,13989.605,15203.382,16145.801,18793.375,18918.053,20410.522,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,,13787.92,20153.832,20703.882,21275.934,23886.838,22258.69,21921.326,22233.021,,,
