Country Name;Country Code;Indicator Name;Indicator Code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Aruba;ABW;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;0,166552325;0,180523335;0,181390813;0,184549671;0,187054711;0,186599365;0,189937143;0,190059132;0,193546026;0,299773735;5,464716202;5,661788966;6,855849661;6,894805132;6,922233528
Afghanistan;AFG;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;54,24314016;54,05503375;43,56611455;41,73546975;49,1882979;40,8591841;37,13725354;33,86258384;21,34371431;17,81385523;14,83980856;10,79382842;13,97358428;14,2784545;16,74899642
Angola;AGO;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;74,61817619;73,75785022;72,12512104;67,30612009;65,49305828;70,9541867;65,02257509;61,59968988;58,10798497;55,74897111;54,19382515;52,71568659;52,24573331;50,68611065;50,79746645
Albania;ALB;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;41,44540901;39,12566318;35,89629494;33,75273352;35,93587219;36,86948271;31,7101944;32,10093689;35,91290331;37,21663939;37,1153302;35,9625312;40,0482966;41,2889785;38,6894966
Andorra;AND;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;14,89066862;15,77387265;16,22181888;16,91230759;16,87442391;16,90244164;17,48599629;16,94077654;17,4227398;17,51595123;19,09072661;18,97154122;19,19553401;19,56370067;19,88632671
Arab World;ARB;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;6,609492188;6,428116504;6,280341153;6,379258787;6,717755177;6,376818063;6,191523086;5,607123957;5,155973146;5,062191154;4,854648222;4,701779976;4,179735966;4,23188684;4,184590201
United Arab Emirates;ARE;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;0,076377169;0,064705852;0,066607541;0,06636053;0,100562178;0,105394824;0,120338084;0,119256369;0,118359828;0,118833695;0,122595569;0,120926656;0,119840695;0,132212906;0,16780695
Argentina;ARG;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;11,07795314;13,04037458;13,28798057;12,51812905;8,348045501;8,957602249;10,18784332;8,887650447;7,609687218;8,574059519;8,961445508;10,11684811;9,866700211;10,22085513;10,77312486
Armenia;ARM;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;7,164263086;5,41911273;8,899367508;9,81161511;8,707899344;6,491174067;7,652835568;7,017262019;6,405167596;7,800555626;9,359817226;8,009615454;6,565711789;6,771217775;7,724733865
American Samoa;ASM;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;0;0;0;0;0;0;0;0;0;0;0;0;0,702426564;0,703140481;0,700882475
