Country Name;Country Code;Indicator Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;ABW;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Afghanistan;AFG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);56,05448305;;;;;43,21094707;;;;;46,56779545;50,40091241;50,56149778;50,93477732;49,02676109;48,01676483;;
Angola;AGO;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);39,64056265;;;;;35,29216767;;;;;30,84495901;31,59438405;33,62948538;33,70874667;35,12951271;36,39542768;;
Albania;ALB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);14,29310003;;;;;12,17598326;;;;;15,32580588;14,67280319;14,511993;15,64245935;16,69960729;17,93662454;;
Andorra;AND;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);10,81286722;;;;;10,92749845;;;;;10,88411327;10,92136743;10,91712823;10,70556757;10,38933824;10,05993572;;
Arab World;ARB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);52,87521793;;;;;52,79730469;;;;;63,82590195;63,191705;63,83611294;63,40492621;62,97798039;63,13124048;;
United Arab Emirates;ARE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);75,56362831;;;;;67,24063338;;;;;74,11933045;73,16350199;74,99061583;70,85059428;67,17545852;64,29012818;;
Argentina;ARG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,66941992;;;;;14,91562346;;;;;14,27254307;14,12314793;14,15148439;13,62121025;13,67861608;13,44396548;;
Armenia;ARM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,54667114;;;;;20,96387232;;;;;25,90381947;25,74679593;24,28148614;24,79903114;25,08644703;25,50768535;;
American Samoa;ASM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);4,322886886;;;;;4,339080007;;;;;3,410088967;3,30293518;3,379987778;3,448989662;3,638034547;3,732035944;;
Antigua and Barbuda;ATG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);17,32235273;;;;;16,38137962;;;;;13,26361122;13,54079028;13,63414658;13,93344458;14,05720483;13,88760103;;
Australia;AUS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);6,803757356;;;;;6,607162641;;;;;5,930373586;5,884769656;5,977630261;6,029646627;5,932051308;5,897734951;;
Austria;AUT;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,24514611;;;;;15,29663318;;;;;15,12092092;14,94375206;15,24677384;15,91639969;16,45924852;17,01299421;;
Azerbaijan;AZE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);23,61646317;;;;;21,11154765;;;;;26,12385523;25,19642763;24,60949201;26,32304126;28,0060253;30,3540129;;
Burundi;BDI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);47,18177558;;;;;43,19245097;;;;;40,05271391;44,03095627;47,44958378;48,33502221;47,29057045;45,53410622;;
Belgium;BEL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,86849124;;;;;16,2806338;;;;;16,31701575;16,30640191;15,8994561;15,90389158;15,78042979;15,63662972;;
Benin;BEN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);59,00824259;;;;;46,02261113;;;;;42,70601546;45,80124941;45,33291833;41,49184403;38,37472292;35,16237337;;
Burkina Faso;BFA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);66,61651305;;;;;59,00206017;;;;;60,87729241;62,6397117;54,89954122;49,39441139;44,14409051;40,03947692;;
Bangladesh;BGD;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);65,42196522;;;;;80,23563347;;;;;82,23194526;82,69560248;82,80494953;88,33041827;87,03455404;89,3929096;;
Bulgaria;BGR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);29,14142037;;;;;23,1008418;;;;;26,83183332;26,96002866;25,68139714;26,71231101;27,53486186;28,12871472;;
Bahrain;BHR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);62,46652544;;;;;52,606263;;;;;66,4277585;63,51717683;67,28495944;66,45263989;60,33412401;55,45435188;;
